Transaction_ID,Products,City,Previous_Sessions,Days_Since_Last_Session,Source,Medium,Session_Duration,Revenue,Tax,Shipping,Quantity
318,Drunken Garlic Black Bean,Columbus,1,0,google,organic,601,$60.00 ,$0.00 ,$6.00 ,4
213,Extreme Karma,New York,5,0,paypal.com,referral,154,$56.00 ,$0.00 ,$0.00 ,3
337,The Gourmet Pack,Montreal,1,0,(direct),(none),1199,$55.15 ,$0.00 ,$22.15 ,1
281,Big Smoke,New York,3,0,google,organic,174,$55.00 ,$0.00 ,$0.00 ,5
181,$54.00 Gift Certificate,New York,1,0,(direct),(none),244,$54.00 ,$0.00 ,$0.00 ,1
209,Habanero Hot Sauce,Karachi,1,0,google,cpc,378,$54.00 ,$0.00 ,$6.00 ,6
214,Ghost Chili Apple,White Oak,5,0,paypal.com,referral,110,$54.00 ,$0.00 ,$6.00 ,4
374,Habanero Carrot Curry,Holliston,2,0,google,cpc,234,$54.00 ,$0.00 ,$6.00 ,4
379,Secret Aardvark Habanero Hot Sauce,Lubbock,2,0,paypal.com,referral,113,$54.00 ,$0.00 ,$6.00 ,6
174,Jalapeno Lovers Pack,Madrid,4,1,(direct),(none),2192,$52.15 ,$0.00 ,$22.15 ,1
258,Ghost Chili Apple,Richmond,3,0,paypal.com,referral,53,$52.00 ,$0.00 ,$6.00 ,5
344,Brooklyn Grange Hot Sauce,Westminster,3,0,paypal.com,referral,179,$52.00 ,$0.00 ,$6.00 ,5
350,Big Smoke,New York,2,0,paypal.com,referral,191,$52.00 ,$0.00 ,$6.00 ,4
212,Spicy Moroccan Pepper Sauce,Minneapolis,1,0,google,cpc,331,$51.00 ,$0.00 ,$6.00 ,5
223,Big Smoke,Longmont,6,0,paypal.com,referral,513,$50.00 ,$0.00 ,$6.00 ,4
348,Bangkok,Austin,15,0,paypal.com,referral,64,$50.00 ,$0.00 ,$6.00 ,5
283,313 Foodie Sauce,Kendall,1,0,google.com,referral,1228,$49.00 ,$0.00 ,$6.00 ,4
290,313 Foodie Sauce,New York,1,0,eater.com,referral,920,$49.00 ,$0.00 ,$0.00 ,5
353,American Style Pepper Sauce,New York,2,0,google,organic,235,$49.00 ,$0.00 ,$6.00 ,2
219,Habanero Carrot Curry,Lowestoft,5,0,paypal.com,referral,363,$48.15 ,$0.00 ,$24.15 ,2
217,American Style Pepper Sauce,Los Angeles,1,0,(direct),(none),547,$48.00 ,$0.00 ,$6.00 ,4
329,Jalapeno & Green Apple Hot Sauce,Wichita,2,0,paypal.com,referral,118,$47.00 ,$0.00 ,$6.00 ,2
316,Black Label,Houston,1,0,google,organic,415,$46.00 ,$0.00 ,$6.00 ,4
179,Hamajang Kiawe Smoked Ghost Pepper,Austin,6,0,paypal.com,referral,44,$45.00 ,$0.00 ,$6.00 ,5
222,Jalapeno Lovers Pack,Scranton,2,0,google,organic,1314,$44.00 ,$0.00 ,$6.00 ,2
235,708 7 Pot Citrus,Evesham Township,1,0,(direct),(none),1632,$44.00 ,$0.00 ,$6.00 ,4
275,Habanero Hot Sauce Pack,Washington,5,0,paypal.com,referral,0,$44.00 ,$0.00 ,$6.00 ,2
359,Hellacious Hot Sauce,California City,2,0,(direct),(none),1,$44.00 ,$0.00 ,$12.00 ,4
381,Secret Aardvark Habanero Hot Sauce,Covina,2,0,paypal.com,referral,0,$44.00 ,$0.00 ,$12.00 ,4
395,Secret Aardvark Habanero Hot Sauce,Lawton,1,0,google,organic,30,$44.00 ,$0.00 ,$12.00 ,4
393,Bangkok,Claremont,3,0,paypal.com,referral,257,$42.00 ,$0.00 ,$6.00 ,4
245,Habanero,Unterschleissheim,2,1,eater.com,referral,1140,$41.00 ,$0.00 ,$6.00 ,4
251,Drunken Garlic Black Bean,Kapolei,5,0,paypal.com,referral,294,$40.00 ,$0.00 ,$0.00 ,5
294,Bangkok,New York,1,0,google,organic,693,$40.00 ,$0.00 ,$6.00 ,3
300,313 Foodie Sauce,Cypress Lake,2,1,google,cpc,0,$40.00 ,$0.00 ,$12.00 ,4
338,Brooklyn Grange Hot Sauce,Kirkwood,1,0,google,organic,1917,$40.00 ,$0.00 ,$6.00 ,3
368,American Style Pepper Sauce,Boston,1,0,(direct),(none),592,$40.00 ,$0.00 ,$6.00 ,3
370,Brooklyn Grange Hot Sauce,New York,2,0,paypal.com,referral,704,$40.00 ,$0.00 ,$6.00 ,3
177,Hamajang Kiawe Smoked Ghost Pepper,New York,6,0,google,organic,19,$39.00 ,$0.00 ,$6.00 ,3
192,313 Foodie Sauce,New York,1,0,google,organic,494,$39.00 ,$0.00 ,$0.00 ,4
226,Hamajang Kiawe Smoked Ghost Pepper,New York,4,0,paypal.com,referral,63,$39.00 ,$0.00 ,$6.00 ,3
279,The Gourmet Pack,Washington,1,0,eater.com,referral,320,$39.00 ,$0.00 ,$6.00 ,1
280,The Gourmet Pack,San Francisco,2,0,paypal.com,referral,22,$39.00 ,$0.00 ,$6.00 ,1
284,The Gourmet Pack,Hudson,2,0,(direct),(none),355,$39.00 ,$0.00 ,$6.00 ,1
286,The Gourmet Pack,Smyrna,2,0,google,organic,627,$39.00 ,$0.00 ,$6.00 ,1
295,Ghost Chili Apple,Spring Valley,1,0,google,organic,379,$39.00 ,$0.00 ,$6.00 ,3
369,The Gourmet Pack,Chicago,10,0,google,organic,934,$39.00 ,$0.00 ,$6.00 ,1
371,The Gourmet Pack,New York,2,12,google,organic,1104,$39.00 ,$0.00 ,$6.00 ,1
375,The Gourmet Pack,New York,1,0,google,organic,284,$39.00 ,$0.00 ,$6.00 ,1
377,The Gourmet Pack,New York,3,0,(direct),(none),490,$39.00 ,$0.00 ,$6.00 ,1
386,The Gourmet Pack,New York,1,0,foodrepublic.com,referral,370,$39.00 ,$0.00 ,$6.00 ,1
399,The Gourmet Pack,Rio de Janeiro,3,2,foodrepublic.com,referral,217,$39.00 ,$0.00 ,$6.00 ,1
166,Bad Karma Sauce,Washington,1,0,(direct),(none),274,$38.00 ,$0.00 ,$0.00 ,4
308,Big Smoke,Portland,4,0,paypal.com,referral,374,$38.00 ,$0.00 ,$6.00 ,3
357,Bangkok,New York,4,0,paypal.com,referral,17,$38.00 ,$0.00 ,$6.00 ,3
184,Habanero,New Orleans,4,0,paypal.com,referral,75,$37.00 ,$0.00 ,$6.00 ,3
186,Rogue,Manteca,3,0,paypal.com,referral,58,$37.00 ,$0.00 ,$6.00 ,3
201,Extreme Karma,Denver,2,0,paypal.com,referral,26,$37.00 ,$0.00 ,$6.00 ,3
363,313 Foodie Sauce,Marion,5,0,paypal.com,referral,98,$37.00 ,$0.00 ,$0.00 ,2
401,313 Foodie Sauce,Washington,2,0,google,organic,258,$37.00 ,$0.00 ,$6.00 ,3
183,Habanero Hot Sauce Pack,New York,1,0,(direct),(none),217,$36.00 ,$0.00 ,$6.00 ,1
241,Ghost Pepper Sauce Pack,Charleston,2,0,paypal.com,referral,0,$36.00 ,$0.00 ,$6.00 ,1
243,Habanero Hot Sauce Pack,Somerville,1,0,eater.com,referral,249,$36.00 ,$0.00 ,$6.00 ,1
244,Jalapeno Lovers Pack,Pilesgrove,1,0,eater.com,referral,284,$36.00 ,$0.00 ,$6.00 ,1
247,Habanero Hot Sauce Pack,Moline,1,0,eater.com,referral,530,$36.00 ,$0.00 ,$6.00 ,1
250,Ghost Pepper Sauce Pack,Washington,1,0,eater.com,referral,435,$36.00 ,$0.00 ,$6.00 ,1
253,Ghost Pepper Sauce Pack,New York,2,9,eater.com,referral,429,$36.00 ,$0.00 ,$6.00 ,1
